name,location,mileage,price,Exterior color,interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,Accidents or damage,1-owner vehicle,Personal use only
2017 Mercedes-Benz GLS 550 Base 4MATIC,"3160 Commercial Ave Northbrook, IL 60062","71,154 mi.","$33,550 $1,445 price drop",White,Saddle Brown / Black,All-wheel Drive,14–18,Gasoline,9-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,None reported,No,No
2017 Subaru WRX Limited,"3160 Commercial Ave Northbrook, IL 60062","93,618 mi.","$18,495 $500 price drop",Blue,Black,All-wheel Drive,18–24,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC Turbo,None reported,Yes,No
2013 Porsche Panamera 4,,,,,,,,,,,,,
2007 BMW Z4 3.0i Roadster,"3160 Commercial Ave Northbrook, IL 60062","65,262 mi.","$15,995 ",Black,Black,Rear-wheel Drive,20–30,Gasoline,6-Speed Manual,3.0L I6 24V MPFI DOHC,None reported,No,No
2002 Mercedes-Benz CL-Class CL55 AMG,,,,,,,,,,,,,
2019 Mercedes-Benz SL 550 Base,"3160 Commercial Ave Northbrook, IL 60062","31,807 mi.","$60,995 $1,000 price drop",Gray,Black,Rear-wheel Drive,17–25,Gasoline,9-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2020 Subaru Outback Premium,"770 Frontage Rd Northfield, IL 60093","69,137 mi.","$18,989 $1,000 price drop",Ice Silver Metallic,Black,All-wheel Drive,26–33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,At least 1 accident or damage reported,Yes,No
2017 Mercedes-Benz C-Class C300 4MATIC Coupe,"13901 S Cicero Ave Crestwood, IL 60445","64,811 mi.","$21,995 ",Black,Brown,All-wheel Drive,23–29,Gasoline,Automatic,2.0L L4 DOHC 16V TURBO,At least 1 accident or damage reported,No,No
2021 BMW X1 xDrive28i,"430 E. Ogden Ave. Westmont, IL 60559","24,699 mi.","$29,491 $1,299 price drop",Mineral White Metallic,Black,All-wheel Drive,23–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,Yes,No
2021 Audi Q7 55 Prestige,"430 E. Ogden Ave. Westmont, IL 60559","46,594 mi.","$46,179 ",Navarra Blue Metallic,Black,All-wheel Drive,18–23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,None reported,Yes,No
2019 Mercedes-Benz E-Class E 300,"430 E. Ogden Ave. Westmont, IL 60559","27,815 mi.","$34,760 ",Polar White,Black,All-wheel Drive,21–29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,No,No
2020 Honda HR-V EX-L,"415 Ogden Ave Clarendon Hills, IL 60514","24,964 mi.","$21,901 ",Lunar Silver Metallic,Black,All-wheel Drive,26–31,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,At least 1 accident or damage reported,Yes,No
2021 INFINITI Q60 3.0t LUXE,"415 Ogden Ave Clarendon Hills, IL 60514","40,170 mi.","$36,135 ",Midnight Black,Graphite,All-wheel Drive,19–27,Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported,Yes,No
2021 BMW X5 M50i,"1313 Rand Road Des Plaines, IL 60016","48,076 mi.","$49,977 $1,001 price drop",Mineral White Metallic,Ivory White,All-wheel Drive,16–22,Gasoline,8-Speed Automatic Sport,"4.4L V-8 gasoline direct injection, DOHC, Double VANOS variable",None reported,Yes,No
2024 Audi Q3 45 S line Premium,"276 Ogden Ave Westmont, IL 60559",10 mi.,"$44,990 ",Navarra Blue Metallic,Black,All-wheel Drive,20–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,,,
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",8 mi.,"$87,515 ",Gray Metallic,Black,All-wheel Drive,,Electric,,,,,
2023 Porsche Cayenne Turbo,"201 E Ogden Ave Westmont, IL 60559","3,821 mi.","$138,000 $400 price drop",White,Black,All-wheel Drive,14–19,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2020 GMC Acadia AT4,"2000 Frontage Rd Glencoe, IL 60022","37,884 mi.","$29,998 $1,000 price drop",White,Black,All-wheel Drive,18–25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,Yes
2023 Ford F-150 Lightning Pro,"2000 Frontage Rd Glencoe, IL 60022","9,198 mi.","$45,998 $2,000 price drop",Black,Gray,All-wheel Drive,1-Speed Automatic,2.0L I4 OHV Electric,,24927101,None reported,Yes,Yes
2020 Ford Explorer Limited,"2000 Frontage Rd Glencoe, IL 60022","38,946 mi.","$33,998 ",Black,Black,Four-wheel Drive,20–27,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2019 BMW M850 i xDrive,,,,,,,,,,,,,
2020 Tesla Model X Long Range,"555 Executive Dr Willowbrook, IL 60527","78,563 mi.","$38,995 $1,000 price drop",Pearl White Multi,Black,All-wheel Drive,,Electric,,HL7583,None reported,Yes,No
2021 GMC Acadia SLE,"300 W Roosevelt Rd Villa Park, IL 60181","22,280 mi.","$29,999 ",Summit White,Jet Black,All-wheel Drive,22–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,No
2023 Kia Telluride EX X-Line,"2800 Patriot Blvd Glenview, IL 60026","5,268 mi.","$41,500 $400 price drop",Ebony Black,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,None reported,Yes,Yes
2023 Toyota Highlander XSE,,,,,,,,,,,,,
2019 Audi A5 2.0T Premium Plus,"870 S Fiene Dr. Addison, IL 60101","37,923 mi.","$24,985 $2,000 price drop",Manhattan Gray Metallic,Black,All-wheel Drive,23–34,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2022 Lincoln Aviator Reserve AWD,"217 E Ogden Ave Downers Grove, IL 60515","12,147 mi.","$57,000 $899 price drop",Pristine White Metallic Tri-Coat,Ebony,All-wheel Drive,17–24,Gasoline,10-Speed Automatic,3.0L V6,None reported,No,No
2018 Tesla Model 3 Long Range,"505 Ogden Ave Downers Grove, IL 60515","27,147 mi.","$25,985 $1,000 price drop",Gray,Black,All-wheel Drive,,ELECTRIC MOTOR,,A866,None reported,Yes,No
2020 Tesla Model 3 Long Range,,,,,,,,,,,,,
2011 BMW Z4 sDrive30i,"1030 Republic Dr Addison, IL 60101","48,288 mi.","$24,750 ",Alpine White,Beige Kansas Leather,Rear-wheel Drive,18–28,Gasoline,Automatic,"3L I-6 DOHC, Double VANOS variable valve control, premium unlead",At least 1 accident or damage reported,Yes,No
2023 Cadillac XT6 Premium Luxury AWD,"100 Skokie Blvd Northbrook, IL 60062","29,231 mi.","$45,989 ",Wilder Metallic,Dark Auburn,All-wheel Drive,18–25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,No
2021 Cadillac XT6 Premium Luxury AWD,"100 Skokie Blvd Northbrook, IL 60062","42,528 mi.","$35,989 ",Wilder Metallic,Cirrus,All-wheel Drive,18–25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,No
2013 Honda CR-Z Base,"1543 Ogden Ave Downers Grove, IL 60515","105,139 mi.","$8,888 $1,000 price drop",Gray,Black,Front-wheel Drive,–,Hybrid,Automatic,1.5L I4 16V MPFI SOHC Hybrid,None reported,No,No
2014 Audi A7 3.0T Prestige quattro,"1543 Ogden Ave Downers Grove, IL 60515","139,741 mi.","$13,777 $1,111 price drop",White,Nougat Brown,All-wheel Drive,18–28,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,At least 1 accident or damage reported,No,No
2022 Mitsubishi Mirage G4 LE,"1601 Ogden Ave. Downers Grove, IL 60515","35,674 mi.","$13,197 ",Mercury Gray Metallic,–,Front-wheel Drive,35–41,Gasoline,CVT,"1.2L I-3 DOHC, MIVEC variable valve control, regular unleaded, e",At least 1 accident or damage reported,Yes,No
2016 INFINITI QX50 Base,"1601 Ogden Ave. Downers Grove, IL 60515","47,076 mi.","$17,697 ",Hagane Blue,Graphite,All-wheel Drive,17–24,Gasoline,7-Speed Automatic,"VQ 3.7L V-6 VVEL DOHC, variable valve control, premium unleaded,",None reported,Yes,No
2022 Nissan Leaf SL PLUS 62 kWh,"1601 Ogden Ave. Downers Grove, IL 60515","10,676 mi.","$21,169 $815 price drop",Gun Metallic,Black,Front-wheel Drive,,Electric,,N8489,None reported,No,No
2022 Toyota RAV4 Hybrid LE,"175 N Arlington Heights Rd Elk Grove Village, IL 60007","68,349 mi.","$24,577 $1,400 price drop",Midnight Black Metallic,Black,All-wheel Drive,41–38,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,At least 1 accident or damage reported,Yes,No
2021 Mazda CX-30 Premium Package,"1644 Ogden Ave Downers Grove, IL 60515","27,653 mi.","$22,400 $100 price drop",Machine Gray Metallic,–,All-wheel Drive,24–31,Gasoline,Automatic,"SKYACTIV-G 2.5L I-4 gasoline direct injection, DOHC, variable va",None reported,Yes,Yes
2016 Audi A6 2.0T Premium Plus,"3201 167th St Hazel Crest, IL 60429","129,666 mi.","$12,849 $150 price drop",Black,Black,All-wheel Drive,22–32,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",None reported,Yes,No
2024 Hyundai Santa Fe Limited,"1866 Ogden Avenue Downers Grove, IL 60515",11 mi.,"$48,085 MSRP $48,085",Earthy Brass Matte,Black,All-wheel Drive,20–28,Gasoline,Shiftronic,"Smartstream 2.5L I-4 port/direct injection, DOHC, CVVT variable",,,
2021 Audi A5 45 S line Premium,,,,,,,,,,,,,
2023 Chrysler 300,,,,,,,,,,,,,
2018 Ford Edge Titanium,"8821 W 159th St Orland Hills, IL 60487","172,158 mi.","$12,795 $200 price drop",White Platinum,Ebony,Front-wheel Drive,20–29,Gasoline,6-Speed Automatic,EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT,At least 1 accident or damage reported,Yes,No
2022 BMW X4 xDrive30i,,,,,,,,,,,,,
2024 Audi A5 Sportback S line Premium,"2490 Skokie Valley Rd Highland Park, IL 60035",25 mi.,"$52,205 MSRP $52,205",Black,Black,All-wheel Drive,24–32,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121,,,
2024 Audi A6 allroad Prestige,"2490 Skokie Valley Rd Highland Park, IL 60035",9 mi.,"$83,715 MSRP $83,715",Brown,Brown,All-wheel Drive,22–30,Hybrid,Automatic,Intercooled Turbo Gas/Electric V-6 3.0 L/183,,,
2000 Lexus SC 300,"88 E Dundee Rd Buffalo Grove, IL 60089","94,984 mi.","$13,795 $1,180 price drop",Black Onyx,Ivory,Rear-wheel Drive,19–23,Gasoline,4-Speed Automatic,3.0L I6 24V MPFI DOHC,None reported,No,No
2008 BMW 335 i,"2110 Ogden Ave Lisle, IL 60532","43,651 mi.","$12,979 $450 price drop",Platinum Bronze Metallic,Beige,Rear-wheel Drive,17–26,Gasoline,6-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,At least 1 accident or damage reported,No,No
2006 Mazda MX-5 Miata Grand Touring,"2110 Ogden Ave Lisle, IL 60532","58,714 mi.","$12,990 $436 price drop",Marble White,Tan,Rear-wheel Drive,23–30,Gasoline,6-Speed Automatic,2.0L I4 16V MPFI DOHC,At least 1 accident or damage reported,No,No
2011 Dodge Durango Express,"2110 Ogden Ave Lisle, IL 60532","85,260 mi.","$11,596 $150 price drop",Stone White Clearcoat,Black,Rear-wheel Drive,16–23,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported,No,No
2012 Honda Civic LX,"2110 Ogden Ave Lisle, IL 60532","140,616 mi.","$8,453 ",Crystal Black Pearl,Gray,Front-wheel Drive,28–39,Gasoline,5-Speed Automatic,1.8L I4 16V MPFI SOHC,At least 1 accident or damage reported,Yes,No
2021 BMW X5 M Base,"2699 Skokie Valley Road Highland Park, IL 60035","43,791 mi.","$71,000 $899 price drop",Donington Grey Metallic,Silverstone,All-wheel Drive,13–18,Gasoline,8-Speed Automatic Sport,"4.4L V-8 gasoline direct injection, DOHC, Double VANOS variable",None reported,Yes,No
2019 Audi SQ5 3.0T Premium,"2699 Skokie Valley Road Highland Park, IL 60035","61,268 mi.","$33,724 $1,275 price drop",Quantum Gray,Black,All-wheel Drive,19–24,Gasoline,8-Speed Automatic with Tiptronic,"3L V-6 gasoline direct injection, DOHC, variable valve control,",None reported,No,No
2023 Nissan Armada SL,"18800 South Oak Park Ave Tinley Park, IL 60477","9,263 mi.","$46,998 $1,000 price drop",Blue,Black,Four-wheel Drive,13–18,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,None reported,Yes,Yes
2023 Ford Explorer ST,"18800 South Oak Park Ave Tinley Park, IL 60477","22,406 mi.","$42,998 $1,000 price drop",Black,Black,Rear-wheel Drive,18–25,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported,Yes,Yes
2023 Jeep Grand Cherokee Altitude,"18800 South Oak Park Ave Tinley Park, IL 60477","13,009 mi.","$39,998 $3,000 price drop",White,Black,Four-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported,Yes,Yes
2020 Dodge Challenger GT,"18800 South Oak Park Ave Tinley Park, IL 60477","47,846 mi.","$29,998 ",Red,Black,All-wheel Drive,18–27,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,At least 1 accident or damage reported,Yes,No
2022 Kia Sorento SX,"18800 South Oak Park Ave Tinley Park, IL 60477","27,623 mi.","$35,998 ",Black,Black,All-wheel Drive,22–27,Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,None reported,Yes,Yes
2020 INFINITI QX50 Luxe,"18800 South Oak Park Ave Tinley Park, IL 60477","56,586 mi.","$26,998 ",Majestic White,Wheat,All-wheel Drive,22–28,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,None reported,Yes,Yes
2020 INFINITI QX50 Luxe,"18800 South Oak Park Ave Tinley Park, IL 60477","56,586 mi.","$26,998 ",Majestic White,Wheat,All-wheel Drive,22–28,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,None reported,Yes,Yes
2013 Kia Sorento SX,"250 E Golf Rd Schaumburg, IL 60173","103,703 mi.","$15,998 ",White,Black,All-wheel Drive,18–24,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,None reported,Yes,Yes
2017 Audi A5 2.0T Sport,"250 E Golf Rd Schaumburg, IL 60173","46,016 mi.","$23,998 $1,000 price drop",Daytona Gray Pearl Effect,Black,All-wheel Drive,22–30,E85 Flex Fuel,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,At least 1 accident or damage reported,Yes,No
2019 Kia Niro LX,"250 E Golf Rd Schaumburg, IL 60173","70,535 mi.","$17,998 ",White,Black,Front-wheel Drive,51–46,Hybrid,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,At least 1 accident or damage reported,Yes,No
2022 Ford Explorer Limited,"250 E Golf Rd Schaumburg, IL 60173","19,860 mi.","$32,998 $1,000 price drop",Gray,Black,Rear-wheel Drive,21–28,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2021 Audi S5 3.0T Premium Plus,"250 E Golf Rd Schaumburg, IL 60173","13,949 mi.","$44,998 ",Daytona Gray Pearl Effect,Black,All-wheel Drive,20–28,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,None reported,Yes,Yes
2020 Mercedes-Benz S-Class S 450,"250 E Golf Rd Schaumburg, IL 60173","52,382 mi.","$41,998 $1,000 price drop",Black,Black,Rear-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported,Yes,No
2022 Jeep Wrangler Unlimited 4xe Sahara,"250 E Golf Rd Schaumburg, IL 60173","32,927 mi.","$41,998 ",Black,Dark Saddle / Black,Four-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,None reported,Yes,Yes
2021 BMW 228 Gran Coupe i xDrive,"250 E Golf Rd Schaumburg, IL 60173","35,178 mi.","$26,998 ",White,Black,All-wheel Drive,23–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,Yes,Yes
2005 Chevrolet Impala LS,"9700 Indianapolis Blvd Highland, IN 46322","62,675 mi.","$8,900 ",Laser Blue Metallic,Medium Gray,Front-wheel Drive,20–30,Gasoline,Automatic,"3.8L V-6 regular unleaded, engine with 200HP",None reported,Yes,No
2021 GMC Yukon SLT,"9700 Indianapolis Blvd Highland, IN 46322","34,159 mi.","$55,300 $700 price drop",Satin Steel Metallic,Jet Black,Four-wheel Drive,16–20,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",None reported,Yes,No
2017 Ford Shelby GT350 Base,"9700 Indianapolis Blvd Highland, IN 46322","34,114 mi.","$51,000 ",Grabber Blue,Ebony,Rear-wheel Drive,14–21,Gasoline,Manual,"5.2L V-8 DOHC, Ti-VCT variable valve control, premium unleaded,",At least 1 accident or damage reported,No,No
2010 Jeep Patriot Sport,"9700 Indianapolis Blvd Highland, IN 46322","85,097 mi.","$8,400 $1,565 price drop",Light Sandstone Metallic Clearcoat,Dark Slate Gray,Front-wheel Drive,23–27,Gasoline,Automatic,"2L I-4 DOHC, variable valve control, regular unleaded, engine wi",None reported,Yes,No
2023 Kia Carnival SX,"1400 E Dundee Rd Palatine, IL 60074","13,333 mi.","$42,590 ",Astra Blue,Tuscan Umber,Front-wheel Drive,19–26,Gasoline,Automatic,"3.5L V-6 port/direct injection, DOHC, CVVT variable valve contro",None reported,Yes,No
2021 RAM ProMaster 1500 Low Roof,,,,,,,,,,,,,
2023 Mercedes-Benz EQE 350 Base 4MATIC,,,,,,,,,,,,,
2020 Tesla Model S Long Range,"1000 W Golf Road Hoffman Estates, IL 60169","56,761 mi.","$39,999 ",Black,Black,All-wheel Drive,,Electric,,PM4183A,None reported,Yes,No
2021 Ford Bronco Wildtrak,"1075 W Golf Road Hoffman Estates, IL 60169","12,161 mi.","$51,845 ",Area 51,Medium Sandstone,Four-wheel Drive,18–20,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,None reported,Yes,Yes
